IP,MAC,Hostname,Vendor
192.168.1.1,20:b0:01:d6:39:cc,EtisalatHub.lan,Technicolor Delivery Technologies Belgium NV
192.168.1.126,04:ba:d6:fe:2f:85,R32.lan,D-Link Corporation
192.168.1.140,0c:b6:d2:92:97:99,Unknown,D-Link International
192.168.1.104,d4:d8:53:2d:0f:46,AKHAN06PC0523.lan,Intel Corporate
192.168.1.105,b2:b9:23:88:8a:51,Unknown,
192.168.1.103,d6:50:b9:54:c0:72,MacBookAir.lan,
192.168.1.205,58:d5:6e:c1:60:7d,D-Link.lan,D-Link International
192.168.1.166,a0:43:b0:5e:b0:7b,BroadLink-Remote-5e-b0-7b.lan,"Hangzhou BroadLink Technology Co.,Ltd"
192.168.1.151,f4:30:b9:22:33:3f,HP22333F.lan,Hewlett Packard
192.168.1.179,ea:f8:81:ae:7a:30,iPhone.lan,
192.168.1.245,40:b4:cd:b6:48:30,Unknown,Amazon Technologies Inc.
192.168.1.178,a0:d7:f3:a4:94:c2,Samsung.lan,"Samsung Electronics Co.,Ltd"
192.168.1.225,b0:c5:54:51:eb:de,DCS-8000LH.lan,D-Link International
